param,grid_len,algo,n_meshes,chamfer_mean,chamfer_std,chamfer_median,hausdorff_mean,hausdorff_std,hausdorff_median,f1_mean,f1_std,f1_median
noise0.0,50,ours,10,0.00034881,0.00025041,0.00028194,0.0103262,0.00371051,0.0087015,0.99999,3.162e-05,1.0
noise0.0,50,mc,10,0.00136279,0.00051062,0.00133979,0.0266864,0.01028462,0.024467,0.99565,0.00667653,0.9992
noise0.0,50,mes,10,0.00107953,0.0006102,0.00101632,0.0168008,0.00464457,0.0159765,0.99935,0.00083033,0.99975
noise0.0,50,rfta,10,0.00085024,0.00046377,0.00078662,0.0184972,0.00542281,0.017024,0.9992,0.00127715,0.9999
noise0.001,50,mc,10,0.00152146,0.00046594,0.00146746,0.0265743,0.0092219,0.025156,0.99601,0.00614843,0.99945
noise0.001,50,mes,10,0.00111029,0.00031927,0.00103227,0.0147535,0.00189779,0.0147415,0.99987,0.0002406,1.0
noise0.001,50,ours,10,0.00108376,0.00025458,0.00104244,0.0132211,0.00301272,0.0117855,0.99991,0.00025144,1.0
noise0.001,50,rfta,10,0.00128729,0.00055517,0.00103688,0.0280712,0.00848656,0.0251625,0.9941,0.01411248,0.99935
noise0.005,50,mc,10,0.00276988,0.00027492,0.00274099,0.0247045,0.00417112,0.0231255,0.99714,0.00385752,0.9989
noise0.005,50,mes,10,0.00403454,0.00077644,0.00376296,0.035213,0.01630496,0.030316,0.98785,0.02430918,0.99665
noise0.005,50,ours,10,0.00311625,0.00019806,0.00309966,0.0210633,0.00247569,0.0209885,0.99864,0.00219808,0.9993
noise0.005,50,rfta,10,0.00473703,0.00112031,0.00450179,0.0445449,0.00587426,0.042558,0.96255,0.05287878,0.9875
noise0.01,50,mc,10,0.00437744,0.0002279,0.00435342,0.0321935,0.00307612,0.032445,0.98412,0.00890303,0.98505
noise0.01,50,mes,10,0.00822944,0.00126666,0.00803822,0.038706,0.00771198,0.0362125,0.83882,0.07835913,0.8506
noise0.01,50,ours,10,0.0051582,0.00027527,0.00515312,0.0367932,0.00242351,0.0372175,0.96266,0.01408105,0.9642
noise0.01,50,rfta,10,0.01151383,0.00283633,0.01189282,0.0841217,0.05687342,0.0662645,0.70387,0.14114601,0.7344
